Name,Address,City,State,Value (3 = green; 2 = yellow; 1 = red),Restrictions (for yellow),Postcode,long,lat,hexcolor
Downtown Oakland YMCA  ,2350 Broadway,Oakland,CA,,,,,,
Farley's East,33 Grand Ave,Oakland,CA,,,,,,
Pican Restaurant,2295 Broadway,Oakland,CA,,,,,,
Ozumo,2251 Broadway,Oakland,CA,,,,,,
Starbucks,420 W Grand Ave,Oakland,CA,,,,,,
Era,19 Grand Ave,Oakland,CA,,,,,,
Luka's Taproom & Lounge,2221 Broadway,Oakland,CA,,,,,,
Garage Door,2295 Broadway,Oakland,CA,,,,,,
Plum Restaurant,2214 Broadway,Oakland,CA,,,,,,
Subway,29 Grand Ave,Oakland,CA,3,,,,,
"America Works of California, Inc",1212 Broadway,Oakland,CA,,,,,,
Safeway,1212 Broadway,Oakland,CA,3,,,,,
Men's Wearhouse,1212 Broadway,Oakland,CA,3,,,,,
McDonald's,1212 Broadway,Oakland,CA,3,,,,,
KFC,1212 Broadway,Oakland,CA,3,,,,,
Jack in the Box,1212 Broadway,Oakland,CA,3,,,,,
Home Depot,1212 Broadway,Oakland,CA,3,,,,,
Greyhound,1212 Broadway,Oakland,CA,3,,,,,
Goodwill,1212 Broadway,Oakland,CA,3,,,,,
Firestone Auto Care,1212 Broadway,Oakland,CA,3,,,,,
Family Dollar,1212 Broadway,Oakland,CA,3,,,,,
Dunkin Donuts,1212 Broadway,Oakland,CA,3,,,,,
Chipotle,1212 Broadway,Oakland,CA,3,,,,,
Carl's Junior ,1212 Broadway,Oakland,CA,3,,,,,
Bed Bath and Beyond,1212 Broadway,Oakland,CA,3,,,,,
Ace Hardware,1212 Broadway,Oakland,CA,2,,,,,
AT&T,1212 Broadway,Oakland,CA,3,,,,,
